;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
392;3T3;aSFL;M450;none;20um fibronectin discs;11;9762.816080191084;390.1101451355839;325.2875725930098;320.52564105183046
393;3T3;aSFL;M450;none;20um fibronectin discs;12;6089.233641358075;406.82054916663856;320.0597779670502;320.52564105183046
394;3T3;aSFL;M450;none;20um fibronectin discs;17;37900.30092548406;189.62018553256652;147.39217299783968;124.12332910640498
395;3T3;aSFL;M450;none;20um fibronectin discs;1;7419.445344547891;328.9808681165936;261.0813837925898;235.48322119917972
396;3T3;aSFL;M450;none;20um fibronectin discs;2;7599.440211686566;332.5057794025905;266.9959046399404;235.48322119917972
397;3T3;aSFL;M450;none;20um fibronectin discs;3;8223.30732629058;295.3636595184305;246.11235150799985;235.48322119917972
398;3T3;aSFL;M450;none;20um fibronectin discs;4;9379.78343498529;289.9105896214894;239.2154929594999;235.48322119917972
399;3T3;aSFL;M450;none;20um fibronectin discs;5;8085.880127863281;331.9000590789416;279.5879846542698;235.48322119917972
400;3T3;aSFL;M450;none;20um fibronectin discs;8;10864.681088240814;295.33705343813614;237.8339017806552;235.48322119917972
401;3T3;aSFL;M450;none;20um fibronectin discs;9;9982.959501705209;292.29736628451843;245.04979746581512;235.48322119917972
402;3T3;aSFL;M450;none;20um fibronectin discs;10;15836.076882796777;244.8754051026156;205.0196109692652;235.48322119917972
403;3T3;aSFL;M450;none;20um fibronectin discs;11;13311.840287893778;244.38539185906205;205.68379147590983;235.48322119917972
404;3T3;aSFL;M450;none;20um fibronectin discs;12;12501.471675346977;239.3637054087793;199.54865897620493;235.48322119917972
405;3T3;aSFL;M450;none;20um fibronectin discs;13;20776.19789515153;219.187803938879;192.1243639303798;235.48322119917972
406;3T3;aSFL;M450;none;20um fibronectin discs;14;21435.300872928816;226.3322726249321;196.2876004742748;235.48322119917972
407;3T3;aSFL;M450;none;20um fibronectin discs;15;38662.84827735328;215.10883797017345;199.80397348138516;235.48322119917972
408;3T3;aSFL;M450;none;20um fibronectin discs;16;21328.23622538532;212.5377500815497;196.79988843083947;235.48322119917972
409;3T3;aSFL;M450;none;20um fibronectin discs;1;4308.611465552376;206.81529010444487;135.54305678787978;127.7723617125348
410;3T3;aSFL;M450;none;20um fibronectin discs;2;4586.528463573507;189.61272093233865;137.33380105905508;127.7723617125348
411;3T3;aSFL;M450;none;20um fibronectin discs;3;4994.116014438936;179.04290982207053;165.119564871095;127.7723617125348
412;3T3;aSFL;M450;none;20um fibronectin discs;4;4639.145925513235;153.598380888975;143.71899213202505;127.7723617125348
413;3T3;aSFL;M450;none;20um fibronectin discs;5;5744.543384077828;108.5625454659144;118.60565101884548;127.7723617125348
414;3T3;aSFL;M450;none;20um fibronectin discs;6;7736.0152828081455;100.16574399378648;103.80140312572983;127.7723617125348
415;3T3;aSFL;M450;none;20um fibronectin discs;7;7601.09358945606;115.94878683824044;102.97235913899476;127.7723617125348
416;3T3;aSFL;M450;none;20um fibronectin discs;8;10720.010464952364;128.99816913303695;120.2402245930998;127.7723617125348
417;3T3;aSFL;M450;none;20um fibronectin discs;9;7713.373364524327;150.0293149214633;109.2786681725147;127.7723617125348
418;3T3;aSFL;M450;none;20um fibronectin discs;10;14050.666784466155;286.08826255155344;132.59391661902964;127.7723617125348
419;3T3;aSFL;M450;none;20um fibronectin discs;1;2900.980003911459;441.1873332476517;326.91844923813505;263.15562232819
420;3T3;aSFL;M450;none;20um fibronectin discs;2;5052.665450841382;348.2364427081699;275.7082488390902;263.15562232819
421;3T3;aSFL;M450;none;20um fibronectin discs;3;3201.017701530077;418.8813179422567;336.62605245851955;263.15562232819
422;3T3;aSFL;M450;none;20um fibronectin discs;4;4132.564862248265;388.7960444115783;323.56666224376977;263.15562232819
423;3T3;aSFL;M450;none;20um fibronectin discs;5;4301.685983319144;369.1516578117304;300.7627574383255;263.15562232819
